method,sim_setup,beta_int,epsilon,rep,seed,status,synth_file,sigma,epochs,beta123_real,se_real,p_real,R2_real_train,beta123_syn,se_syn,p_syn,R2_syn_train,abs_err_beta123,RMSE_holdout,R2_holdout,RMSE_real_holdout,R2_real_holdout,delta_RMSE_holdout,delta_R2_holdout
DPWGAN,constant,2.0,2.0,2,40102002,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_2\synthetic_rep_02.csv,2.0,74,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,0.03766365569850627,0.14223603059177223,0.7911698487013613,0.8829488819165663,1.9631570583365159,4.91920080770339,0.408085959773854,0.49990641665219204,0.9938871046431216,4.419294391051198,-0.5858011448692676
DPWGAN,constant,2.0,2.0,3,40102003,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_2\synthetic_rep_03.csv,2.0,74,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,-0.00858431817501299,0.03203118144880867,0.7887041933374126,0.8357887502321545,2.009405032210035,3.6318805809046,0.6773492647057913,0.49990641665219204,0.9938871046431216,3.131974164252408,-0.3165378399373303
DPWGAN,constant,2.0,2.0,4,40102004,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_2\synthetic_rep_04.csv,2.0,74,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,-0.5369068362787447,0.20205668825705533,0.00788800677860417,0.40787653595495255,2.537727550313767,7.184097354240599,-0.26244933191549835,0.49990641665219204,0.9938871046431216,6.684190937588407,-1.25633643655862
DPWGAN,constant,2.0,2.0,5,40102005,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_2\synthetic_rep_05.csv,2.0,74,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,0.0013344331496893402,0.06425097310073107,0.9834301647449613,0.8729904034020565,1.9994862808853329,5.550050697254494,0.24653438219989465,0.49990641665219204,0.9938871046431216,5.050144280602302,-0.7473527224432269
DPWGAN,constant,2.0,3.0,1,40103001,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_3\synthetic_rep_01.csv,2.0,143,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,0.05660673565291581,0.008689139812107387,7.534852110721968e-11,0.8961824238678614,1.9442139783821064,3.5575886077275007,0.6904142299570066,0.49990641665219204,0.9938871046431216,3.0576821910753087,-0.30347287468611495
DPWGAN,constant,2.0,3.0,2,40103002,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_3\synthetic_rep_02.csv,2.0,143,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,-7.598875528076927e-05,0.005781656789012748,0.9895138317691223,0.9464696269459273,2.000896702790303,3.6279470288523856,0.6780477877669513,0.49990641665219204,0.9938871046431216,3.1280406122001936,-0.3158393168761703
DPWGAN,constant,2.0,3.0,3,40103003,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_3\synthetic_rep_03.csv,2.0,143,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,0.008004046828904744,0.007888584533254734,0.3102966159624026,0.825160815938931,1.9928166672061176,4.1953749392084685,0.5694623874727036,0.49990641665219204,0.9938871046431216,3.6954685225562764,-0.42442471717041796
DPWGAN,constant,2.0,3.0,4,40103004,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_3\synthetic_rep_04.csv,2.0,143,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,-0.002260861432074067,0.014136999273971575,0.8729423617191845,0.9227917279122155,2.0030815754670965,5.10644257297081,0.362167795421233,0.49990641665219204,0.9938871046431216,4.606536156318618,-0.6317193092218886
DPWGAN,constant,2.0,3.0,5,40103005,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_3\synthetic_rep_05.csv,2.0,143,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,0.04856343729064139,0.007484500027493636,8.959165969548628e-11,0.926603447953295,1.9522572767443809,3.8743765475001877,0.6328249241913052,0.49990641665219204,0.9938871046431216,3.3744701308479956,-0.3610621804518164
DPWGAN,constant,2.0,4.0,1,40104001,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_4\synthetic_rep_01.csv,2.0,244,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,0.09806112575135892,0.009508904814570222,7.588965949102152e-25,0.7832426701085111,1.9027595882836634,3.5962301703866926,0.6836524325567686,0.49990641665219204,0.9938871046431216,3.0963237537345005,-0.310234672086353
DPWGAN,constant,2.0,4.0,2,40104002,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_4\synthetic_rep_02.csv,2.0,244,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,0.006865083642117423,0.007740837554923374,0.37516643059404015,0.8636276547777669,1.993955630392905,3.642364918188954,0.6754837508597055,0.49990641665219204,0.9938871046431216,3.142458501536762,-0.3184033537834161
DPWGAN,constant,2.0,4.0,3,40104003,OK,higher_order_dpwgan_sweep_constant\beta_int_2.000\eps_4\synthetic_rep_03.csv,2.0,244,2.0008207140350223,0.0024539468485625412,0.0,0.9938013163816578,-0.0019168123761172488,0.01633270045473864,0.9065761421607267,0.670584482987762,2.0027375264111393,3.8131250978720312,0.6443427666026408,0.49990641665219204,0.9938871046431216,3.313218681219839,-0.3495443380404808
