method,sim_setup,beta_int,epsilon,abs_err_mean,abs_err_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,delta_rmse_mean,delta_rmse_sd,delta_r2_mean,delta_r2_sd
DPWGAN,nonconstant,2.0,3.0,1.988471411946816,0.0194233160478589,3.32418250882843,0.20719154292144165,0.5340478429510231,0.05939147104282916,2.324502134872945,0.20719154292144148,-0.42394277470377534,0.059391471042829165
DPWGAN,nonconstant,2.0,4.0,1.9208477132657014,0.07740681196055918,3.101741569705881,0.21848127583898322,0.5939723666860919,0.05677941662080857,2.1020611957503967,0.21848127583898322,-0.3640182509687066,0.05677941662080858
DPWGAN,nonconstant,2.0,5.0,1.2815858036837775,0.32151249433622897,2.143250901482119,0.3715942244862306,0.8022618911263146,0.06166256201567161,1.1435705275266344,0.3715942244862304,-0.15572872652848382,0.06166256201567161
DPWGAN,nonconstant,3.0,1.0,3.6511542262662644,0.9927124529483464,6.865297124278939,2.421497984320529,-0.24448740695342827,0.8431528092508918,5.876834911250819,2.4214979843205287,-1.2210242632535255,0.8431528092508918
DPWGAN,nonconstant,3.0,2.0,3.109083815929604,0.1831882891082922,6.031226578088159,1.979037951795663,0.05122827863829891,0.6531011508024145,5.042764365060039,1.9790379517956629,-0.9253085776617983,0.6531011508024145
DPWGAN,nonconstant,3.0,3.0,2.975168646542087,0.03774383954016237,4.834576112667624,0.4780578107874667,0.4343252142929538,0.11015511457882439,3.8461138996395037,0.47805781078746656,-0.5422116420071434,0.11015511457882439
DPWGAN,nonconstant,3.0,4.0,2.8479544772376184,0.12230534681219991,4.215560663434429,0.1725112932551448,0.5726751118002067,0.034845725354695926,3.2270984504063094,0.172511293255145,-0.40386174449989054,0.03484572535469596
DPWGAN,nonconstant,3.0,5.0,2.3268890518228647,0.35864411882519115,3.402963400433756,0.4583011121913097,0.7178779140108166,0.07182781066106907,2.4145011874056364,0.45830111219130937,-0.2586589422892807,0.07182781066106908
DPWGAN,nonconstant,5.0,1.0,5.17641365863022,0.4976822340604592,10.509708131732078,1.0666879748435873,0.025240795931168458,0.20039849648489447,9.511747663305211,1.0666879748435873,-0.9660419776292054,0.2003984964848945
DPWGAN,nonconstant,5.0,2.0,5.170469972797166,0.11829864731223928,10.337219455390464,1.582962830978043,0.04713616351463956,0.3001620763225795,9.3392589869636,1.582962830978043,-0.9441466100457344,0.3001620763225795
DPWGAN,nonconstant,5.0,3.0,4.966177730692882,0.05815065509438347,8.463208467087194,1.1557232679026184,0.3637131711664117,0.18334858974580762,7.465247998660328,1.1557232679026184,-0.6275696023939622,0.1833485897458076
DPWGAN,nonconstant,5.0,4.0,4.433360674846188,0.48214724744802306,6.911873992042436,0.7573646085725446,0.5778227053167951,0.08743777669495163,5.913913523615571,0.7573646085725446,-0.4134600682435788,0.08743777669495165
DPWGAN,nonconstant,5.0,5.0,3.5129596081124297,0.42448430568079937,5.552642469829315,0.6437555144206601,0.7272302904133714,0.060083754792980976,4.554682001402449,0.6437555144206598,-0.26405248314700247,0.060083754792980976
