method,sim_setup,beta_int,epsilon,rep,seed,status,synth_file,sigma,epochs,beta123_real,se_real,p_real,R2_real_train,beta123_syn,se_syn,p_syn,R2_syn_train,abs_err_beta123,RMSE_holdout,R2_holdout,RMSE_real_holdout,R2_real_holdout,delta_RMSE_holdout,delta_R2_holdout
DPWGAN,nonconstant,0.0,4.0,1,10104001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_4\synthetic_rep_01.csv,2.0,244,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.0030931270482524136,0.00455222453728428,0.49684758721621575,0.8008163967868693,0.0034766925075614104,1.137270814456734,0.5897665930738294,1.0095943551633002,0.6767064329808454,0.12767645929343385,-0.08693983990701604
DPWGAN,nonconstant,0.0,4.0,2,10104002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_4\synthetic_rep_02.csv,2.0,244,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.004982379891536058,0.00276994820324761,0.0720834602826343,0.9172707344461806,0.004598814432227061,1.5329664517029977,0.25463578765689165,1.0095943551633002,0.6767064329808454,0.5233720965396975,-0.4220706453239538
DPWGAN,nonconstant,0.0,4.0,3,10104003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_4\synthetic_rep_03.csv,2.0,244,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.0033481320943005936,0.005272000111271907,0.5253878295684842,0.7417467318525526,0.0037316975536095904,1.0918741318934686,0.6218636831862834,1.0095943551633002,0.6767064329808454,0.0822797767301684,-0.05484274979456205
DPWGAN,nonconstant,0.0,4.0,4,10104004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_4\synthetic_rep_04.csv,2.0,244,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.005053012736844567,0.0037296613851112337,0.175497393579576,0.8432892108341055,0.005436578196153564,1.1944686982817574,0.547464366299528,1.0095943551633002,0.6767064329808454,0.18487434311845719,-0.12924206668131744
DPWGAN,nonconstant,0.0,4.0,5,10104005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_4\synthetic_rep_05.csv,2.0,244,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.002942670024126591,0.003734542297404581,0.43073343994451607,0.8712143679727538,0.003326235483435588,1.3648344431826755,0.40916912326242394,1.0095943551633002,0.6767064329808454,0.35524008801937534,-0.2675373097184215
DPWGAN,nonconstant,0.0,5.0,1,10105001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_5\synthetic_rep_01.csv,2.0,383,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.008028197188425547,0.006111033420335003,0.18896141641969663,0.6348857263166701,0.008411762647734543,1.0389110587383805,0.6576581652102333,1.0095943551633002,0.6767064329808454,0.029316703575080316,-0.019048267770612082
DPWGAN,nonconstant,0.0,5.0,2,10105002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_5\synthetic_rep_02.csv,2.0,383,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,0.02325102636085643,0.006205849409936204,0.0001799454524089292,0.6900477899787492,0.023634591820165425,1.0507462331111739,0.6498138874497106,1.0095943551633002,0.6767064329808454,0.04115187794787367,-0.026892545531134848
DPWGAN,nonconstant,0.0,5.0,3,10105003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_5\synthetic_rep_03.csv,2.0,383,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-5.05437915914609e-05,0.006066869339141988,0.9933529269185646,0.6667362548277501,0.00033302166771753596,1.064307780212925,0.6407161387810336,1.0095943551633002,0.6767064329808454,0.05471342504962484,-0.03599029419981181
DPWGAN,nonconstant,0.0,5.0,4,10105004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_5\synthetic_rep_04.csv,2.0,383,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.010378918082121266,0.0067030776684416805,0.12155321010783415,0.6624941870127696,0.00999535262281227,1.0363922270053243,0.6593161630690201,1.0095943551633002,0.6767064329808454,0.02679787184202409,-0.01739026991182535
DPWGAN,nonconstant,0.0,5.0,5,10105005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.000\eps_5\synthetic_rep_05.csv,2.0,383,-0.00038356545930899686,0.0058528858748044445,0.947749441254777,0.6837060257554435,-0.004108601827427965,0.006311847645392324,0.5150992097191932,0.659612094189802,0.0037250363681189677,1.0231109439886874,0.6679918871603585,1.0095943551633002,0.6767064329808454,0.013516588825387199,-0.008714545820486919
DPWGAN,nonconstant,0.5,1.0,1,20101001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_1\synthetic_rep_01.csv,2.0,20,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.05423391417049065,0.08585158828238773,0.5275820894416334,0.7168714190274044,0.5636851786470933,1.6781984880140273,0.5254782080910029,0.9962164170623211,0.8327843584088086,0.6819820709517062,-0.3073061503178057
DPWGAN,nonconstant,0.5,1.0,2,20101002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_1\synthetic_rep_02.csv,2.0,20,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.27764950742795647,0.23994567934573421,0.24723702436407427,0.5136429120463941,0.7871007719045592,2.4911378594566083,-0.04559870060356763,0.9962164170623211,0.8327843584088086,1.4949214423942871,-0.8783830590123762
DPWGAN,nonconstant,0.5,1.0,3,20101003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_1\synthetic_rep_03.csv,2.0,20,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.5438995185223667,0.23980132310731583,0.02333672667220941,0.4926811305100357,0.034448254045764015,2.9361327542870157,-0.4525158713486981,0.9962164170623211,0.8327843584088086,1.9399163372246946,-1.2853002297575067
DPWGAN,nonconstant,0.5,1.0,4,20101004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_1\synthetic_rep_04.csv,2.0,20,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.02162612365523619,0.030802182814051077,0.4826302807636577,0.6866918173586158,0.4878251408213665,1.7376624426177933,0.49125478234266684,0.9962164170623211,0.8327843584088086,0.7414460255554722,-0.34152957606614176
DPWGAN,nonconstant,0.5,1.0,5,20101005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_1\synthetic_rep_05.csv,2.0,20,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.014012971262504764,0.005734686921745995,0.014555984578032446,0.9488082757504679,0.5234642357391075,2.846009352033861,-0.3647156015907045,0.9962164170623211,0.8327843584088086,1.84979293497154,-1.197499959999513
DPWGAN,nonconstant,0.5,2.0,1,20102001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_2\synthetic_rep_01.csv,2.0,74,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.001450912929355272,0.006630667596533269,0.8267946041296657,0.9322963878063064,0.510902177405958,1.427188946033465,0.6568117126538651,0.9962164170623211,0.8327843584088086,0.4309725289711439,-0.17597264575494354
